city id,city,country,lat,lon,temp_astronomical_twilight_end,hum_astronomical_twilight_end,cloudiness_astronomical_twilight_end,windiness_astronomical_twilight_end
159067,Iringa,TZ,-9.0,35.0,61.95,94,100,3.27
2066901,Marree,AU,-29.65,138.0667,86.85,33,0,25.48
3572005,Long Island,BS,23.2167,-75.1117,75.43,79,37,25.99
1325443,Hakha,MM,22.65,93.6167,55.33,64,70,1.74
5835069,Pine Bluffs,US,41.1819,-104.0691,29.95,59,1,21.85
5849164,Kekaha,US,21.9683,-159.7132,73.58,88,75,4.61
6139393,Salluit,CA,62.2006,-75.6323,10.99,91,88,17.69
495922,Shal'skiy,RU,61.797,36.0168,-9.2,89,21,10.18
2015306,Tiksi,RU,71.6872,128.8694,-26.0,86,34,2.73
343143,Āwarē,ET,8.2561,44.1567,72.54,38,96,19.46
5079617,Springview,US,42.8244,-99.749,32.14,74,1,9.22
3380993,Maripa-Village,GF,3.6333,-54.05,73.47,94,100,3.13
7645723,Satawal,FM,7.382,147.0322,82.4,75,40,19.01
5992650,Kinosis,CA,56.3335,-110.9685,39.2,81,88,31.07
586971,Bilgeh,AZ,40.5681,50.0378,39.2,75,40,4.61
6171824,Umiujaq,CA,56.5554,-76.5522,15.71,97,100,19.66
288789,Barkā’,OM,23.7074,57.8891,75.2,78,0,3.44
4015471,Carácuaro,MX,19.0106,-101.1264,76.55,28,0,3.49
3373168,Vila do Corvo,PT,39.6667,-31.1333,63.05,84,79,33.22
553609,Kamenka,RU,65.8876,44.1126,-30.89,83,5,5.01
