city id,city,country,lat,lon,temp_sunset,hum_sunset,cloudiness_sunset,windiness_sunset
2515493,Las Cabezas de San Juan,ES,36.9838,-5.9393,54.97,76,40,9.22
5489698,San Juan,US,36.9992,-109.0409,33.8,40,1,10.36
3572601,Cooper's Town,BS,26.8667,-77.5167,67.08,75,23,26.75
2215210,Al Burayqah,LY,30.4062,19.5739,61.5,57,0,10.65
3980124,Villa Unión,MX,23.9667,-104.0333,64.76,26,5,11.03
69769,Usaylan,YE,15.032,45.8283,80.44,21,0,6.89
2014833,Tura,RU,64.2833,100.25,-23.35,85,95,3.18
1627035,Simpang,ID,-1.2667,104.0833,79.92,76,33,4.41
2634428,Western Isles,GB,57.6667,-7.1667,44.8,81,55,21.85
5994519,Kuujjuarapik,CA,55.2836,-77.7495,23.0,68,90,21.85
3997747,Los Garza,MX,28.0833,-100.3667,65.64,45,1,5.75
6422131,Huangtang,CN,26.0394,112.035,68.32,63,70,3.94
3692994,Quiruvilca,PE,-7.9667,-78.2,41.11,97,95,1.88
4582287,Horry County,US,33.9168,-78.9831,43.03,56,1,5.75
5924351,Clyde River,CA,70.4692,-68.5914,-16.6,76,90,2.3
2110418,Yaren,NR,-0.5472,166.916,81.75,77,99,12.55
580707,Arzhanovskaya,RU,50.1152,42.3521,25.0,85,100,6.96
471160,Voznesen'ye,RU,61.0106,35.4781,0.52,91,98,11.25
2013279,Vostok,RU,46.4856,135.8833,0.57,94,94,1.03
3164175,Villanova,IT,45.0265,9.9985,53.51,100,20,8.05
1128239,Rūdbār,AF,30.15,62.6,71.56,42,97,20.58
2018069,Peleduy,RU,59.6289,112.7406,-14.39,86,100,3.6
2566016,Inga,CG,-4.2464,15.2286,82.4,74,20,2.3
88903,Al Marj,LY,32.488,20.8317,52.66,68,6,12.01
480267,Turki,RU,51.987,43.2731,17.1,97,100,5.53
1651461,Amuntai,ID,-2.4177,115.2494,76.28,95,88,2.95
2063176,Point Samson,AU,-20.6333,117.2,87.37,70,32,17.27
1797039,Rulong,CN,30.9418,100.3096,38.59,55,0,2.53
3608828,Iralaya,HN,15.0,-83.2333,78.8,89,40,9.22
4166208,North Key Largo,US,25.2673,-80.3234,71.15,64,75,16.11
1269578,Jagdalpur,IN,19.0667,82.0333,75.06,30,97,6.87
3668562,Santa Rita,CO,4.8678,-68.3611,84.63,60,62,4.61
6533958,es Mercadal,ES,40.0415,4.1218,59.0,82,20,19.57
588879,Saare,EE,58.25,22.4667,37.26,93,100,4.61
2453514,Ménaka,ML,15.9182,2.4022,79.63,14,7,11.32
2493455,Illizi Province,DZ,26.8333,8.1667,78.8,8,0,9.22
2138410,Saint-Joseph,NC,-20.4,164.5667,81.37,80,100,2.44
2422442,Dabola,GN,10.75,-11.1167,87.46,21,81,3.11
1282256,Hithadhoo,MV,-0.6,73.0833,82.87,75,100,15.3
1263528,Marhaura,IN,25.9667,84.8667,75.2,46,0,3.44
1506938,Erzin,RU,50.261,95.1623,11.68,84,48,4.88
5886735,Arctic Bay,CA,73.0347,-85.1663,-13.0,64,90,2.3
6942826,La Paz,MX,24.1333,-110.3,65.17,59,20,12.66
5301067,Kingman,US,35.1894,-114.053,55.8,22,1,13.8
218229,Bongandanga,CD,1.5,21.05,83.21,42,100,1.9
2377539,Nema,MR,16.6162,-7.2535,85.37,12,0,10.96
187896,Mandera,KE,3.9366,41.867,95.92,20,81,11.3
1535379,Novoishimskiy,KZ,53.1981,66.7694,-12.6,89,30,6.78
3952372,Chuquitira,PE,-17.2878,-70.045,42.08,89,100,6.49
1266991,Khāpri,IN,21.05,79.0333,80.6,36,0,3.44
2029118,Suugaant,MN,45.5326,107.0455,23.74,86,99,14.83
2019718,Mukhen,RU,48.1,136.1,9.32,94,76,3.22
