city id,city,country,lat,lon,temp_civil_twilight_begin,hum_civil_twilight_begin,cloudiness_civil_twilight_begin,windiness_civil_twilight_begin
1628757,Sangkulirang,ID,0.9833,117.9667,72.75,93,99,2.86
2017155,Saskylakh,RU,71.9167,114.0833,-28.91,84,84,2.39
3467850,Campinhos,BR,-14.8667,-40.8833,63.05,98,100,3.36
3581418,Privassion Camp,BZ,17.0333,-88.95,64.22,94,75,2.13
3854981,Gobernador Gregores,AR,-48.7506,-70.2474,50.4,59,56,3.11
1518062,Torghay,KZ,49.6339,63.4981,-12.5,86,31,4.63
2089478,Northern Province,PG,-9.0,148.5,75.22,81,87,3.18
3661948,Marechal Thaumaturgo,BR,-8.9411,-72.7917,70.11,96,99,0.63
209598,Manono,CD,-7.3,27.4167,67.66,97,100,1.95
698247,Oster,UA,50.9506,30.8823,32.05,93,100,6.71
1061412,Mananara,MG,-16.1667,49.7667,76.08,89,35,3.76
933077,Shakawe,BW,-18.3667,21.85,66.99,95,100,8.1
363533,Zalingei,SD,12.9096,23.4741,55.42,34,36,4.74
2179671,Manawatu-Wanganui,NZ,-39.95,175.0167,57.0,96,0,1.99
1307641,Myoma,MM,20.1333,92.8833,72.37,48,93,6.42
6445087,Saint-Mandrier-sur-Mer,FR,43.0667,5.9333,52.81,76,90,20.71
3406001,Batalha,BR,-4.025,-42.075,70.38,97,36,2.57
1538730,Omskiy,RU,57.6356,91.9072,-20.54,88,82,4.43
1528998,Yumen,CN,40.2833,97.2,29.71,77,69,2.33
2485794,Ouargla Province,DZ,30.5,6.1667,60.15,28,16,10.83
3370221,Banghoek,ZA,-33.9167,18.9167,59.88,82,40,5.75
2032436,Bayasgalant,MN,46.9833,112.05,13.15,97,70,10.51
478050,Ust'-Kulom,RU,61.6864,53.6902,-17.7,87,98,3.94
5955550,Forest Lawn Industrial,CA,51.0334,-113.9687,34.34,38,75,17.27
3685070,Durania,CO,1.2667,-70.1833,70.57,98,90,1.88
1522605,Kīevka,KZ,50.2619,71.5514,0.9,92,100,13.69
5882640,Aguanish,CA,50.2168,-62.0818,5.0,66,40,11.5
2841488,Sankt Peter,DE,48.0167,8.0333,37.69,81,0,5.75
3374351,Pombas,CV,17.1503,-25.0201,68.0,73,20,24.16
389469,Baladīyat ar Rayyān,QA,25.2,51.05,63.86,77,75,9.22
3581398,Punta Gorda,BZ,16.0984,-88.8097,68.0,83,90,6.91
921745,Nioumachoua,KM,-12.3614,43.7153,83.07,68,100,2.62
1808212,Hechuan,CN,29.9947,106.2572,53.6,76,0,2.24
